times,rate_values,rate_models,targets_id,values_id,models_id
2007-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-04,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-05,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-06,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-07,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-08,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-09,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-10,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-11,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2007-12,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-01,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-04,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-05,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-06,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-07,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-08,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-09,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-10,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-11,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2008-12,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-01,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-04,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
